model,accuracy,f1,recall,precision,roc_auc_ovr,roc_auc_ovo
MLP TF-IDF,0.6338028169014085,0.637242456791329,0.6390977443609022,0.6357115009746589,0.7349316973525938,0.73968776106934
MLP TF-IDF + feature selection,0.6197183098591549,0.621443812233286,0.6195697577276524,0.6237228607918263,0.7123370914599202,0.714390142021721
MLP TF-IDF aug,0.6901408450704225,0.6953768453768454,0.6979949874686717,0.69320987654321,0.7576923689029473,0.7634972848788638
CNN Word2Vec,0.5070422535211268,0.5129785247432306,0.5031328320802004,0.5333333333333333,0.6809507219055645,0.6880547723475354
CNN Word2Vec pretrained,0.5915492957746479,0.6015947429578875,0.5954469507101086,0.6102356791243847,0.7206665617659395,0.727548036758563
CNN Glove pretrained,0.6197183098591549,0.6270785751492567,0.6212406015037594,0.6354811209196161,0.7416879806883454,0.7468410609857979
CNN OHE,0.5915492957746479,0.5974850546279118,0.5881370091896407,0.6180952380952381,0.7434473294847264,0.7494648078529659
CNN tf-idf,0.6619718309859155,0.6693667443667444,0.6722013366750209,0.6669753086419753,0.7437079238460784,0.7495170217209691
LSTM,0.535211,0.547708,0.534566,0.57356,0.668927,0.67801
MLP TF-IDF aug,0.6901408450704225,0.6953768453768454,0.6979949874686717,0.69320987654321,0.7576923689029473,0.7634972848788638
Sentence transformer,0.6619718309859155,0.6728867623604465,0.668233082706767,0.6831140350877193,0.8152319401505578,0.8237912489557226
Sentence transformer (chunk),0.5070422535211268,0.49504228977215464,0.4895572263993317,0.5608465608465608,0.7113716685075966,0.7178949979114453
