,accuracy,f1,recall,precision,roc_auc_ovr,roc_auc_ovo
MLP TF-IDF,0.6714285714285714,0.6750722353559233,0.6794159311321782,0.6717948717948717,0.7558266047870371,0.7598684210526317
MLP TF-IDF + feature selection,0.6142857142857143,0.6153427045875558,0.6153427045875558,0.6153427045875558,0.7151934755108528,0.7173300098071266
CNN Word2Vec,0.5857142857142857,0.5928030303030303,0.5781301078783917,0.6294261294261294,0.694751486617985,0.699370709382151
CNN Word2Vec pretrained,0.6142857142857143,0.6207420234880189,0.6183938106134902,0.6235215725470598,0.7433243279621925,0.7493734335839598
CNN Glove pretrained,0.5857142857142857,0.5822860180754917,0.5802549852893102,0.5957246244602566,0.6734258925018634,0.6749686716791979
CNN OHE,0.6428571428571429,0.6534391534391535,0.6504304238858015,0.6587114845938374,0.7761069031536856,0.7823362754712869
CNN tf-idf,0.6714285714285714,0.6779818552868199,0.6824670371581126,0.6745726495726497,0.7640506646529621,0.7697504631143075
Sentence transformer,0.6571428571428571,0.6667923737691179,0.6597471940721369,0.6782407407407408,0.8234546281306881,0.8318895063746323
Sentence transformer (chunk),0.5142857142857142,0.5023233417599614,0.4943881442737277,0.5641296687808316,0.7241048203691623,0.7290236460717009
MLP TF-IDF aug,0.6857142857142857,0.6931448992852501,0.6969597907813011,0.6907422402159243,0.7661278738088546,0.7717663724528713
