,accuracy,f1,recall,precision,roc_auc_ovr,roc_auc_ovo
K-neighbors tf_idf,0.7428571428571429,0.7456140350877193,0.7497548218372017,0.7430499325236167,0.8409904713626042,0.8441143619919363
K-neighbors tf_idf pca,0.7285714285714285,0.7347870182555781,0.7270349787512259,0.7511111111111112,0.8163859032422875,0.8212991718426501
K-neighbors word2vec,0.6571428571428571,0.6374224645411086,0.6414405579165304,0.7456317204301075,0.7873057251529074,0.7897597254004577
K-neighbors weighted word2vec,0.6571428571428571,0.6374224645411086,0.6414405579165304,0.7456317204301075,0.7954191207131863,0.797632668628092
TF-IDF SelectFromModel Random Forest,0.6428571428571429,0.6421652421652423,0.6278740329083579,0.6953316953316954,0.7983389413671566,0.8051174130979621
TF-IDF PCA Random Forest,0.6428571428571429,0.6404121863799284,0.6304620246267844,0.685668449197861,0.8181079765921332,0.8232129236133813
Word2Vec Random Forest,0.5714285714285714,0.5719696969696969,0.5605862482292688,0.6037851037851037,0.7303437076666199,0.7356502669717774
TF-IDF LigthGBM,0.5142857142857142,0.5185185185185185,0.5108423231993026,0.5403050108932462,0.7112417934049645,0.7193799716683013
TF-IDF XGBoost,0.6285714285714286,0.6289705566301311,0.6216083687479568,0.6478174603174603,0.7743763474196989,0.7803203661327233
TF-IDF CatBoost,0.5857142857142857,0.5991211550533584,0.5919962950855399,0.6087056523489162,0.721679452734402,0.7297591805600959
lag target Random Forest,0.5285714285714286,0.5358517260894171,0.5370763866187208,0.553408029878618,0.7369550174127784,0.7451509207802114
"lag target, rate Random Forest",0.6142857142857143,0.62581220171353,0.6132178271766372,0.6494864612511672,0.7401060473688802,0.7485697940503432
"lag target, rate, usd Random Forest",0.5857142857142857,0.5892408245349422,0.5760052304674731,0.6369047619047619,0.7633336539737857,0.7712692056227525
"lag target, rate, usd, inflation Random Forest",0.6714285714285714,0.6792077792077792,0.6690639642584723,0.7057267351384998,0.7626472582963432,0.7685381933093604
"lag target, rate, usd, inflation, growth Random Forest",0.6857142857142857,0.6952309505947915,0.6835567178816606,0.7169117647058824,0.7759161558548797,0.7821660128582325
TimeSeries way Random Forest,0.6142857142857143,0.6145510835913313,0.6024027459954233,0.6638888888888889,0.7829747759986544,0.7904680178707638
TimeSeries way KNN,0.6714285714285714,0.6780852443075926,0.6798790454396862,0.6811688311688311,0.8107332230488637,0.8154693799716682
TimeSeries way CatBoost,0.6714285714285714,0.6781678229954092,0.6742399476953252,0.6831649831649832,0.7855820452724641,0.7908357851149613
